Performance Date,Return,Status,Fund Long Name
2025-09-30,0.00871445,Final,HFRI ED: Merger Arbitrage Index
2025-08-31,0.0133405827,Final,HFRI ED: Merger Arbitrage Index
2025-07-31,0.0123721362,Final,HFRI ED: Merger Arbitrage Index
2025-06-30,0.0198739876,Final,HFRI ED: Merger Arbitrage Index
2025-05-31,0.01927432,Final,HFRI ED: Merger Arbitrage Index
2025-04-30,0.0029598017,Final,HFRI ED: Merger Arbitrage Index
2025-03-31,-0.003954,Final,HFRI ED: Merger Arbitrage Index
2025-02-28,0.006954048,Final,HFRI ED: Merger Arbitrage Index
2025-01-31,0.001257256,Final,HFRI ED: Merger Arbitrage Index
2024-12-31,0.0007705909,Final,HFRI ED: Merger Arbitrage Index
2024-11-30,0.0162423527,Final,HFRI ED: Merger Arbitrage Index
2024-10-31,0.000432541,Final,HFRI ED: Merger Arbitrage Index
2024-09-30,0.005089555,Final,HFRI ED: Merger Arbitrage Index
2024-08-31,0.0031513786,Final,HFRI ED: Merger Arbitrage Index
2024-07-31,0.026215,Final,HFRI ED: Merger Arbitrage Index
2024-06-30,0.003878,Final,HFRI ED: Merger Arbitrage Index
2024-05-31,0.009245,Final,HFRI ED: Merger Arbitrage Index
2024-04-30,-0.012541,Final,HFRI ED: Merger Arbitrage Index
2024-03-31,0.0113878487,Final,HFRI ED: Merger Arbitrage Index
2024-02-29,-0.0033192915,Final,HFRI ED: Merger Arbitrage Index
2024-01-31,-0.0054062411,Final,HFRI ED: Merger Arbitrage Index
2023-12-31,0.0269143541,Final,HFRI ED: Merger Arbitrage Index
2023-11-30,0.0172271249,Final,HFRI ED: Merger Arbitrage Index
2023-10-31,-0.0083536588,Final,HFRI ED: Merger Arbitrage Index
2023-09-30,0.0055257669,Final,HFRI ED: Merger Arbitrage Index
2023-08-31,0.0152351959,Final,HFRI ED: Merger Arbitrage Index
2023-07-31,0.0215662464,Final,HFRI ED: Merger Arbitrage Index
2023-06-30,0.0157268093,Final,HFRI ED: Merger Arbitrage Index
2023-05-31,-0.0258223484,Final,HFRI ED: Merger Arbitrage Index
2023-04-30,0.0006982434,Final,HFRI ED: Merger Arbitrage Index
2023-03-31,-0.0188670374,Final,HFRI ED: Merger Arbitrage Index
2023-02-28,-0.002676151,Final,HFRI ED: Merger Arbitrage Index
2023-01-31,0.003875,Final,HFRI ED: Merger Arbitrage Index
2022-12-31,0.0085246499,Final,HFRI ED: Merger Arbitrage Index
2022-11-30,-0.004627676,Final,HFRI ED: Merger Arbitrage Index
2022-10-31,0.020913,Final,HFRI ED: Merger Arbitrage Index
2022-09-30,-0.009499,Final,HFRI ED: Merger Arbitrage Index
2022-08-31,0.0093729611,Final,HFRI ED: Merger Arbitrage Index
2022-07-31,0.0227546724,Final,HFRI ED: Merger Arbitrage Index
2022-06-30,-0.0157545816,Final,HFRI ED: Merger Arbitrage Index
2022-05-31,-0.010489097,Final,HFRI ED: Merger Arbitrage Index
2022-04-30,-0.0053915752,Final,HFRI ED: Merger Arbitrage Index
2022-03-31,0.0085046711,Final,HFRI ED: Merger Arbitrage Index
2022-02-28,0.0051040686,Final,HFRI ED: Merger Arbitrage Index
2022-01-31,-0.000533,Final,HFRI ED: Merger Arbitrage Index
2021-12-31,0.0074168952,Final,HFRI ED: Merger Arbitrage Index
2021-11-30,-0.0028948481,Final,HFRI ED: Merger Arbitrage Index
2021-10-31,0.0107787464,Final,HFRI ED: Merger Arbitrage Index
2021-09-30,0.0093702682,Final,HFRI ED: Merger Arbitrage Index
2021-08-31,0.009105343,Final,HFRI ED: Merger Arbitrage Index
2021-07-31,-0.0128713722,Final,HFRI ED: Merger Arbitrage Index
2021-06-30,0.0032385894,Final,HFRI ED: Merger Arbitrage Index
2021-05-31,0.0081007388,Final,HFRI ED: Merger Arbitrage Index
2021-04-30,0.0257237314,Final,HFRI ED: Merger Arbitrage Index
2021-03-31,-0.0033255439,Final,HFRI ED: Merger Arbitrage Index
2021-02-28,0.02173373,Final,HFRI ED: Merger Arbitrage Index
2021-01-31,0.0258016818,Final,HFRI ED: Merger Arbitrage Index
2020-12-31,0.033097989,Final,HFRI ED: Merger Arbitrage Index
